key,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
SERF,1.824325,1.815477,1.859554,1.867882,1.877522,1.889854,1.845315,1.818982,1.630967,1.668014,1.718220,1.756944,1.872000,1.860074,1.741965,1.753018,1.723034,1.723983,1.824018,1.823964,1.820127,1.835982,1.942019,1.915981,1.482970,1.536015,1.877981,2.050979,1.841018
SERG,0.610855,0.604154,0.592727,0.580449,0.439871,0.438446,0.376083,0.370996,0.317994,0.315215,0.268314,0.277466,0.261000,0.256010,0.223996,0.226002,0.216004,0.219998,0.155002,0.152997,0.113008,0.115999,0.117001,0.119999,0.096998,0.114001,0.101999,0.097999,0.114001
SEEA,0.199841,0.204065,0.196906,0.212898,0.221953,0.237870,0.219633,0.219998,0.195996,0.206102,0.209588,0.223795,0.200000,0.204008,0.200996,0.211002,0.195004,0.202998,0.160002,0.165997,0.132009,0.130999,0.110001,0.108999,0.086998,0.099001,0.081999,0.042000,0.038000
SEEB,2.493897,2.505076,2.555756,2.599972,2.528249,2.619590,2.630576,2.711973,2.770945,2.901596,2.770212,2.922502,2.835000,2.903116,3.014940,3.069031,3.049061,3.121969,3.028030,3.043939,2.901203,2.923971,2.922029,2.923971,2.589948,2.175022,2.405976,2.540975,2.564026
SEEC,0.213233,0.205070,0.204943,0.198839,0.185634,0.199569,0.182526,0.176998,0.184996,0.190948,0.168076,0.174175,0.174000,0.175007,0.144997,0.148001,0.140003,0.143999,0.138001,0.135997,0.107007,0.107999,0.108001,0.110999,0.085998,0.074001,0.064999,0.053999,0.064001
SEED,2.427970,2.339211,2.284509,2.159111,2.344633,2.291007,2.321686,2.186978,2.244955,2.247929,2.371285,2.438456,2.392000,2.334093,2.428951,2.394024,2.534051,2.461975,2.588026,2.464951,2.332163,2.233978,2.305023,2.368976,1.899962,1.687017,1.577984,1.449986,1.466015
SEEE,,,,,,,0.611762,0.549995,0.649987,0.548596,0.641928,0.621766,0.833000,0.804032,1.005980,0.957010,1.169023,1.131989,1.230012,1.173977,1.234086,1.199988,1.325013,1.296987,1.742965,1.810018,1.773982,1.643984,1.714017
SEGA,0.920918,1.165082,1.263814,1.313543,0.936239,0.999859,0.808328,0.803992,0.709986,0.719337,0.740141,0.785815,0.871000,0.906036,0.803984,0.805008,0.703014,0.717993,0.655007,0.664987,0.651046,0.660993,0.587006,0.607994,0.525989,0.494005,0.541995,0.481995,0.445004
SEGB,0.759191,0.745894,0.744424,0.734098,0.712268,0.685387,0.681964,0.657993,0.709986,0.715296,0.646990,0.659234,0.688000,0.671027,0.655987,0.646006,0.727015,0.723993,0.717007,0.699986,0.704049,0.687993,0.689007,0.677993,0.647987,0.599006,0.665993,0.648994,0.674007
SEGC,0.991996,0.978106,0.986538,0.991183,0.908999,0.904106,0.651877,0.651993,0.674987,0.683977,0.636865,0.655183,0.642000,0.638026,0.632987,0.633006,0.633013,0.637994,0.610006,0.609988,0.623044,0.632994,0.666007,0.693993,0.545989,0.607006,0.628994,0.658993,0.676007
