,gp,gp_q,pi_yoy,gw,gw_q,gp_core,grpe,grpf,slack,dmw,minwage,transfer_share,h,h_disc,cov_benchmark,lambda,wedge,scheme,populist,election,pistar,catchup,catchup_bb,real_wage,pigap,lvl_wage,lvl_price,lvl_minwage,lvl_benefit,lvl_handout,country
1981-10-01,13.432799358975478,12.511537504655124,13.432799358975478,,-36.26164466881014,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,14.17263534865381,,-1.6341809808150458,-292.32533409629315,-0.7398359896783315,17.832783731618033,22.872827290938318,,100.0,100.0,ES
1982-01-01,13.342669181213873,16.724702154055926,13.342669181213873,16.974276415780405,-58.02718305612723,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,14.006642115165823,,-1.447988471514961,-311.01330539883895,-0.6639729339519498,15.424707213748997,23.849455341012465,,100.0,100.0,ES
1982-04-01,14.032004718164126,13.98279962864244,14.032004718164126,14.473908991657058,69.53882517714068,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,14.011714635765484,,-0.5804687351934046,-297.12429901171436,0.02029008239864183,18.35345153335326,24.69790393965564,,100.0,100.0,ES
1982-07-01,13.69230425454413,11.55017773082303,13.69230425454413,9.83362027397041,64.08448364367834,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,13.947832559521213,,-0.665290091529263,-283.99072253350056,-0.25552830497708356,21.54252439153342,25.42146316281037,,118.49999876412909,100.0,ES
1982-10-01,12.82493014228967,9.042041055637284,12.82493014228967,17.683179783461693,-4.863406630845013,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,13.723252076074905,,-1.3477052063641395,-287.46708445512115,-0.8983219337852351,21.28218512837408,26.002662230399164,,118.49999876412909,100.0,ES
1983-01-01,12.42564367337371,15.127556278392085,12.42564367337371,12.665121520434969,-78.09941610823414,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,13.463730395534666,,-1.5809984417921132,-310.7738275517777,-1.0380867221609567,17.50736769610645,27.004886117661083,,118.49999876412909,100.0,ES
1983-04-01,11.335452769686105,9.622036013892021,11.335452769686105,10.74858814731679,61.87269168466797,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,13.038074870364953,,-2.676261866079379,-297.71116363408373,-1.7026221006788482,20.436112015710712,27.662367264856783,,118.49999876412909,100.0,ES
1983-07-01,10.488619645372799,8.162845233569804,10.488619645372799,17.423232670094663,90.78306173478983,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,12.528183825366522,,-3.4592129141484147,-277.05610950877866,-2.0395641799937234,25.642757859312635,28.232675704253175,,134.49999546847334,100.0,ES
1983-10-01,11.741246895164448,14.05255005480388,11.741246895164448,12.893381748443538,-22.98281031744951,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,12.370796439326107,,-1.9820051809104573,-286.31494960184205,-0.6295495441616588,24.210929447978348,29.24215683149269,,134.49999546847334,100.0,ES
1984-01-01,11.37673378503119,13.669503837859054,11.37673378503119,11.571529497413366,-83.38682511235483,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,12.171983908467123,,-2.0869966105034763,-310.5790318393955,-0.7952501234359328,19.655104950816156,30.258742615477694,,134.49999546847334,100.0,ES
